ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,atr_ratio,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_ema,score_rsi_crit,score_volume_crit,score_atr_crit,score_macd_crit,score_structure,score_marche,score_swing_total,signal_swing,action_swing,couleur_swing,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,167.12,-0.16,569280,720261.0,0.79,168.288,170.112,163.682,36.5,2.264,0.88,1.13,182.26,140.78,178.12,165.36,,,,4.0,False,12,15,4,7,6,4,7,55,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,163.72,172.78,2026-08-21
AIR.PA,Airbus,Aéronautique,203.7,-0.54,767813,880106.0,0.87,208.875,208.44,189.38,45.0,4.203,0.85,1.61,221.3,157.42,217.05,201.65,,,,,False,25,20,6,7,3,4,7,72,BON,Achat - position standard,vert clair,197.4,214.21,2026-08-21
ALO.PA,Alstom,Industrie,15.99,1.04,692075,1032998.0,0.67,16.038,16.114,19.322,47.3,0.372,0.87,1.95,30.23,14.72,17.05,15.75,,3.0,,,False,0,20,4,7,6,4,7,48,FAIBLE,Pas d'achat - surveiller pour amélioration,orange,15.43,16.92,2026-08-21
MT.AS,ArcelorMittal,Matériaux,62.58,2.32,1442282,1574791.0,0.92,62.524,61.879,50.481,55.6,2.16,1.04,3.12,65.24,27.42,65.24,56.8,,,,,False,25,17,6,7,6,7,7,75,BON,Achat - position standard,vert clair,59.34,67.98,2026-08-21
CS.PA,AXA,Assurance,43.72,0.44,1813638,2323875.0,0.78,44.254,44.447,41.465,39.8,0.557,0.95,1.12,45.66,36.55,45.66,43.23,,2.0,,1.0,False,12,15,4,7,3,4,7,52,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,42.88,45.11,2026-08-21
BNP.PA,BNP Paribas,Banque,107.5,1.45,1381528,1491703.0,0.93,109.011,108.879,93.028,47.9,1.907,0.91,1.41,113.82,65.12,113.82,105.12,,,,,False,25,20,6,7,3,4,7,72,BON,Achat - position standard,vert clair,104.64,112.27,2026-08-21
EN.PA,Bouygues,BTP/Télécom,46.19,-0.41,470152,562086.0,0.84,47.021,47.5,46.949,36.9,0.852,0.89,1.45,53.48,35.39,50.2,46.0,,6.0,,,False,8,15,6,7,3,4,7,50,MODERE,Achat prudent - demi-position ou attendre confirmation,jaune,44.91,48.32,2026-08-21
CAP.PA,Capgemini,Technologie,111.15,1.46,398417,623639.0,0.64,108.523,105.534,109.884,64.1,3.9,0.95,3.02,153.05,85.62,111.85,90.5,,,,,False,20,17,4,7,10,7,7,72,BON,Achat - position standard,vert clair,105.3,120.9,2026-08-21
CA.PA,Carrefour,Distribution,15.87,0.89,1938644,1876684.0,1.03,15.798,15.88,15.468,48.2,0.256,0.76,1.15,17.53,11.94,16.22,15.6,,,,,False,12,20,6,8,8,4,7,65,BON,Achat - position standard,vert clair,15.49,16.51,2026-08-21
ACA.PA,Crédit Agricole,Banque,19.07,-0.16,3223849,4408491.0,0.73,19.471,19.29,17.472,49.4,0.305,0.96,1.42,20.4,15.29,20.4,18.32,,,,7.0,False,25,20,8,7,3,4,7,74,BON,Achat - position standard,vert clair,18.61,19.83,2026-08-21
